tweet_id,favorites,retweet_count
892420643555336193,37627,8203
892177421306343426,32336,6068
891815181378084864,24360,4011
891689557279858688,40953,8365
891327558926688256,39153,9056
891087950875897856,19692,3008
890971913173991426,11513,1988
890729181411237888,63490,18226
890609185150312448,27077,4128
890240255349198849,31027,7125
890006608113172480,29849,7084
889880896479866881,27054,4813
889665388333682689,46782,9701
889638837579907072,26373,4381
889531135344209921,14710,2175
889278841981685760,24563,5198
888917238123831296,28335,4351
888804989199671297,24853,4134
888554962724278272,19288,3420
888078434458587136,21175,3369
887705289381826560,29384,5200
887517139158093824,45031,11310
887473957103951883,67049,17550
887343217045368832,32761,10075
887101392804085760,29748,5760
886983233522544640,34167,7508
886736880519319552,11714,3155
886680336477933568,21840,4316
886366144734445568,20608,3096
886267009285017600,116,4
886258384151887873,27240,6095
886054160059072513,0,105
885984800019947520,31717,6552
885528943205470208,35000,6215
885518971528720385,19887,3625
885311592912609280,0,17934
885167619883638784,21316,4240
884925521741709313,75218,17638
884876753390489601,27132,5436
884562892145688576,23618,4531
884441805382717440,26270,5484
884247878851493888,70927,19848
884162670584377345,19805,2884
883838122936631299,21298,3333
883482846933004288,44652,9612
883360690899218434,22063,3589
883117836046086144,36151,6448
882992080364220416,23285,3800
882762694511734784,27527,4738
882627270321602560,27177,5899
882268110199369728,43717,11227
882045870035918850,28552,4798
881906580714921986,23659,3288
881666595344535552,49226,10344
881633300179243008,124,7
881536004380872706,48094,15462
881268444196462592,22500,5026
880935762899988482,16596,2701
880872448815771648,20693,3710
880465832366813184,27767,6083
880221127280381952,26295,4087
880095782870896641,26885,4205
879862464715927552,21749,3387
879674319642796034,302,10
879492040517615616,22814,3081
879415818425184262,103006,42953
879376492567855104,16368,3018
879130579576475649,0,6601
879050749262655488,21942,4558
879008229531029506,18486,2613
878776093423087618,18904,4003
878604707211726852,29412,6978
878404777348136964,0,1248
878316110768087041,0,6445
878281511006478336,7537,1248
878057613040115712,40951,6601
877736472329191424,77625,18515
877611172832227328,0,78
877556246731214848,22143,3693
877316821321428993,26697,5041
877201837425926144,26430,5424
876838120628539392,20160,3245
876537666061221889,22946,4508
876484053909872640,18286,2324
876120275196170240,27236,4550
875747767867523072,24564,4168
875144289856114688,21387,4804
875097192612077568,26724,5894
875021211251597312,24856,4599
874680097055178752,27153,4524
874434818259525634,0,14317
874296783580663808,25433,4004
874057562936811520,22158,3851
874012996292530176,33690,10145
873580283840344065,23642,3841
873337748698140672,0,1547
873213775632977920,7058,1547
872967104147763200,26696,5282
872820683541237760,14400,3616
872620804844003328,20317,3609
872486979161796608,39783,8824
872122724285648897,33630,7957
871879754684805121,37090,10917
871762521631449091,19848,3413
871515927908634625,19778,3389
871166179821445120,0,5587
871102520638267392,20522,5410
871032628920680449,22228,3748
870804317367881728,32968,6086
870726314365509632,117,3
870656317836468226,12166,2597
870374049280663552,81200,25801
870308999962521604,21445,4085
870063196459192321,35947,8208
869772420881756160,41692,9885
869702957897576449,27750,6251
869596645499047938,15719,3092
869227993411051520,20132,3745
868880397819494401,64506,14289
868639477480148993,0,2062
868622495443632128,26317,5234
868552278524837888,9975,2062
867900495410671616,23837,4131
867774946302451713,33492,7269
867421006826221569,15902,2474
867072653475098625,0,119
867051520902168576,31832,7788
866720684873056260,19810,4767
866686824827068416,19038,3449
866450705531457537,120734,35029
866334964761202691,51895,14317
866094527597207552,0,8305
865718153858494464,25354,5585
865359393868664832,26165,4975
865006731092295680,27709,7645
864873206498414592,31946,8671
864279568663928832,14473,3009
864197398364647424,29842,8891
863907417377173506,20439,4123
863553081350529029,15178,4169
863471782782697472,0,2436
863432100342583297,23614,5223
863427515083354112,2234,96
863079547188785154,8704,1100
863062471531167744,8448,2436
862831371563274240,19024,5101
862722525377298433,16944,3523
862457590147678208,20367,4956
862096992088072192,73987,23263
861383897657036800,35909,10713
861288531465048066,17092,4164
861005113778896900,16620,3804
860981674716409858,0,2167
860924035999428608,0,818
860563773140209665,7478,2167
860524505164394496,23524,5302
860276583193509888,18252,3491
860184849394610176,16631,5882
860177593139703809,0,31031
859924526012018688,19496,4102
859851578198683649,15378,3532
859607811541651456,18555,1581
859196978902773760,89770,30401
859074603037188101,33818,13718
858860390427611136,0,8207
858843525470990336,15545,3513
858471635011153920,21512,4879
858107933456039936,15728,2924
857989990357356544,16149,2610
857746408056729600,34297,10759
857393404942143489,5910,1661
857263160327368704,20063,4567
857214891891077121,228,18
857062103051644929,0,173
857029823797047296,18975,4060
856543823941562368,16321,2927
856526610513747968,11882,1914
856330835276025856,0,688
856288084350160898,522,17
856282028240666624,27851,6433
855862651834028034,347,26
855860136149123072,5046,1044
855857698524602368,11928,2150
855851453814013952,45789,18078
855818117272018944,26782,5545
855459453768019968,30114,8375
855245323840757760,0,6103
855138241867124737,0,46
854732716440526848,23038,6243
854482394044301312,29584,7032
854365224396361728,19085,4798
854120357044912130,32323,7668
854010172552949760,16376,3227
853760880890318849,28933,5934
853639147608842240,35255,10414
853299958564483072,15733,3665
852936405516943360,0,2068
852912242202992640,9192,1889
852672615818899456,15157,2222
852553447878664193,16589,3619
852311364735569921,33654,10197
852226086759018497,20337,7005
852189679701164033,11647,1634
851953902622658560,0,9949
851861385021730816,0,23
851591660324737024,16518,3581
851464819735769094,24714,7324
851224888060895234,21072,5925
850753642995093505,31560,9600
850380195714523136,13335,2714
850333567704068097,3513,347
850145622816686080,16663,3960
850019790995546112,20880,5074
849776966551130114,31138,7889
849668094696017920,0,5137
849412302885593088,16241,3262
849336543269576704,11677,1961
849051919805034497,43416,8843
848690551926992896,25807,4489
848324959059550208,25358,4778
848213670039564288,8374,776
848212111729840128,16725,3192
847978865427394560,0,3394
847971574464610304,0,443
847962785489326080,24100,5305
847842811428974592,5601,1389
847617282490613760,7178,441
847606175596138505,19269,3547
847251039262605312,21002,4473
847157206088847362,20461,6103
847116187444137987,21987,3330
846874817362120707,20616,4096
846514051647705089,45855,12113
846505985330044928,14497,3212
846153765933735936,32581,9488
846139713627017216,31782,10357
846042936437604353,16450,3025
845812042753855489,30119,9132
845677943972139009,25876,5000
845397057150107648,7865,1890
845306882940190720,24022,5649
845098359547420673,0,8015
844979544864018432,14017,2700
844973813909606400,15560,3369
844580511645339650,17006,3288
844223788422217728,14047,2308
843981021012017153,15618,3073
843856843873095681,22112,4860
843604394117681152,17422,2892
843235543001513987,22223,6352
842846295480000512,15707,3791
842765311967449089,6969,1341
842535590457499648,18675,3691
842163532590374912,25269,6103
842115215311396866,14467,3194
841833993020538882,0,16111
841680585030541313,26513,8162
841439858740625411,13057,3879
841320156043304961,20451,5737
841314665196081154,16377,4937
841077006473256960,23664,5587
840761248237133825,0,1848
840728873075638272,0,17012
840698636975636481,181,2
840696689258311684,12715,1036
840632337062862849,9284,1848
840370681858686976,17039,4800
840268004936019968,19942,6045
839990271299457024,13891,2419
839549326359670784,28495,8207
839290600511926273,0,149
839239871831150596,28176,6902
838952994649550848,20325,4202
838921590096166913,11588,2186
838916489579200512,0,36
838831947270979586,0,11677
838561493054533637,11324,1397
838476387338051585,23385,5078
838201503651401729,0,10662
838150277551247360,1745,353
838085839343206401,147,1
838083903487373313,18274,3339
837820167694528512,35466,8305
837482249356513284,3984,466
837471256429613056,13264,2415
837366284874571778,21966,5616
837110210464448512,16637,2528
836989968035819520,13196,2431
836753516572119041,20005,4886
836677758902222849,13109,2353
836648853927522308,0,577
836397794269200385,0,29337
836380477523124226,15325,3147
836260088725786625,22104,4539
836001077879255040,19845,4542
835685285446955009,0,8644
835574547218894849,18513,3838
835536468978302976,0,1806
835309094223372289,0,22294
835297930240217089,17084,3183
835264098648616962,8034,1806
835246439529840640,2177,77
835172783151792128,27183,6091
835152434251116546,23356,3202
834931633769889797,11250,1751
834786237630337024,22056,5839
834574053763584002,14230,2686
834477809192075265,0,11340
834458053273591808,10007,1784
834209720923721728,21444,5082
834167344700198914,16408,3868
834089966724603904,10462,2258
834086379323871233,13605,2358
833863086058651648,13963,2548
833826103416520705,18753,3967
833732339549220864,0,227
833722901757046785,21582,3411
833479644947025920,15468,2192
833124694597443584,21050,5137
832998151111966721,13835,2356
832769181346996225,0,39
832757312314028032,17536,3853
832682457690300417,12367,3119
832645525019123713,3043,553
832636094638288896,16507,2962
832397543355072512,12433,2368
832369877331693569,17908,3394
832273440279240704,11785,2483
832215909146226688,0,6596
832215726631055365,0,9977
832088576586297345,69,2
832040443403784192,0,10329
832032802820481025,18600,4948
831939777352105988,25024,6531
831926988323639298,357,35
831911600680497154,28842,6946
831670449226514432,10906,1932
831650051525054464,7485,2068
831552930092285952,9373,2449
831322785565769729,9629,1635
831315979191906304,6821,1192
831309418084069378,12244,2612
831262627380748289,12431,2186
830956169170665475,8319,1589
830583320585068544,69796,17934
830173239259324417,0,6082
830097400375152640,10254,3198
829878982036299777,0,5363
829861396166877184,12781,2090
829501995190984704,33146,11340
829449946868879360,10932,2160
829374341691346946,36135,9949
829141528400556032,25570,7914
829011960981237760,55380,17335
828801551087042563,0,3624
828770345708580865,26699,6262
828708714936930305,38232,12001
828650029636317184,9926,1438
828409743546925057,6593,1228
828408677031882754,8011,1375
828381636999917570,13204,2378
828376505180889089,7716,1139
828372645993398273,13118,3160
828361771580813312,2295,181
828046555563323392,12304,3062
828011680017821696,10834,2293
827933404142436356,21044,5589
827653905312006145,16141,3214
827600520311402496,7740,1017
827324948884643840,16603,3267
827199976799354881,11070,2400
826958653328592898,22590,5363
826848821049180160,38155,10945
826615380357632002,0,4233
826598799820865537,5357,270
826598365270007810,10555,2516
826476773533745153,19310,4495
826240494070030336,13890,2776
826204788643753985,5108,999
826115272272650244,16399,3358
825876512159186944,10969,2005
825829644528148480,13342,2670
825535076884762624,54608,18435
825147591692263424,19189,4900
825120256414846976,0,1367
825026590719483904,6654,1367
824796380199809024,0,5891
824775126675836928,15695,3773
824663926340194305,10578,1856
824325613288833024,12370,11152
824297048279236611,15798,4149
824025158776213504,5010,631
823939628516474880,11164,2905
823719002937630720,0,12044
823699002998870016,13217,2588
823581115634085888,13675,2839
823333489516937216,733,27
823322678127919110,16529,4318
823269594223824897,0,10583
822975315408461824,18168,3699
822872901745569793,138877,47129
822859134160621569,13902,2456
822647212903690241,0,6888
822610361945911296,15529,3183
822489057087389700,19089,6888
822462944365645825,29851,15729
822244816520155136,36798,10583
822163064745328640,0,5159
821886076407029760,11919,2515
821813639212650496,0,3598
821765923262631936,8849,1784
821522889702862852,8443,1909
821421320206483457,0,6023
821407182352777218,12388,4670
821153421864615936,266,10
821149554670182400,9151,2166
821107785811234820,10083,2290
821044531881721856,13315,2466
820837357901512704,0,7215
820749716845686786,33162,10662
820690176645140481,12832,3467
820494788566847489,0,607
820446719150292993,0,2781
820314633777061888,3509,607
820078625395449857,20858,6770
820013781606658049,0,1275
819952236453363712,5598,1275
819924195358416896,13548,5207
819711362133872643,14168,3369
819588359383371776,10090,2122
819347104292290561,7604,1297
819238181065359361,2411,436
819227688460238848,24297,7215
819015337530290176,0,39652
819015331746349057,0,20428
819006400881917954,47584,20428
819004803107983360,91284,39652
818646164899774465,0,22502
818627210458333184,23379,8049
818614493328580609,10376,2781
818588835076603904,0,6625
818536468981415936,11495,2671
818307523543449600,0,8769
818259473185828864,11611,2464
818145370475810820,12940,2797
817908911860748288,5107,852
817827839487737858,54566,29337
817777686764523521,11286,2890
817536400337801217,12430,3280
817502432452313088,0,3658
817423860136083457,35951,16111
817415592588222464,5910,1039
817181837579653120,0,9161
817171292965273600,9212,2172
817120970343411712,12848,2825
817056546584727552,9046,1777
816829038950027264,0,5084
816816676327063552,10571,2190
816697700272001025,10337,2379
816450570814898180,32213,8769
816336735214911488,9076,2115
816091915477250048,9434,2330
816062466425819140,0,1124
816014286006976512,0,5735
815990720817401858,5270,1124
815966073409433600,23645,9161
815745968457060357,0,4467
815736392542261248,10391,2455
815639385530101762,8669,1773
815390420867969024,10932,4113
814986499976527872,8075,1386
814638523311648768,11893,2928
814578408554463233,0,6267
814530161257443328,9134,2006
814153002265309185,30389,9380
813944609378369540,0,3449
813910438903693312,9824,2027
813812741911748608,38444,15137
813800681631023104,8815,1895
813217897535406080,19722,7904
813202720496779264,9715,1951
813187593374461952,20973,4717
813172488309972993,9854,2071
813157409116065792,8206,2401
813142292504645637,8920,2552
813130366689148928,4722,481
813127251579564032,12531,3384
813112105746448384,10925,2978
813096984823349248,11142,3889
